,title
55,"Top Court Verdict Tomorrow On Petitions Against Sabarimala, Rafale Orders - NDTV News"
56,Talks on in right direction: Uddhav Thackeray after meeting Cong leaders - Times of India
57,Media release Pooran suspended for four games for changing condition of the ball 13 Nov 19 - International Cricket Council
58,PM Modi Arrives for BRICS Summit in Brazil to Enhance Bilateral Ties - News18
59,BJP Youth Workers Clash With Cops in Kolkata During Rally to Protest Spike in Dengue Cases - News18
60,Lata Mangeshkar health update: Family confirms she is 'stable' and 'better' - Free Press Journal
61,What would it feel like to touch the moon? - The Indian Express
62,"17 Karnataka MLAs Stay Disqualified, But Can Contest Polls: Supreme Court - NDTV News"
63,"MS Dhoni's Scolding In IPL Have Helped Me Learn, Says Deepak Chahar - NDTVSports.com"
64,SC Upholds Disqualification of 17 Cong-JDS MLAs But Allows Them to Contest Dec 5 Karnataka Bypolls - News18
65,"Rupee extends losses, hits 72 per dollar - Moneycontrol.com"
66,"NASA Renames Ultima Thule, the Faraway Ice World, After Nazi-Link Backlash - NDTV"
67,"In New Twitter Bio, Devendra Fadnavis Calls Himself.... - NDTV News"
68,"Hong Kong Open: PV Sindhu, HS Prannoy advance; Saina Nehwal, Sameer Verma ousted in first round - Times of India"
69,"Attention Women! Dining After 6 P.M May Put You At Risk Of Developing Heart Disease, Reveals Study - NDTV Food"
70,Apple AirPods Pro now available in India - GSMArena.com news - GSMArena.com
71,"D-St Buzz: Financial stocks take a beating; Yes Bank, Indiabulls Housing, SBI, ICICI Bank top losers - Moneycontrol.com"
72,President's Rule in Maharashtra LIVE Updates: Uddhav says talk over govt formation in 'right direction'; Congress' Balasaheb Thorat dubs meet with Sena chief 'courtesy call' - Firstpost
73,"Deepika Padukone on working with Ranveer Singh after marriage: ‘When camera starts rolling, we are actors... - Hindustan Times"
74,"Airtel, Vodafone Idea mulling review of SC's AGR order - India Today"
75,"Realme 3, Realme 3i Update Brings Dark Mode, November Security Patch, More - NDTV"
76,IRCTC Share Price Triples Within One Month; Q2 Results Awaited - News18
77,"Priyanka Chopra and Nick Jonas have spent $20 million for a 20,000-square-foot property - Times of India"
78,P Chidambaram’s judicial remand extended by 14 days - Hindustan Times
79,India and Bangladesh ready to embrace pink ahead of historic day-night Test - India Today
80,"Landing Site of Mars 2020 Rover Could Preserve Signs of Ancient Life, Says Study - News18"
81,Retail inflation firms up to 4.62% in October - Livemint
82,"President's Rule in Maharashtra LIVE Updates: Congress, Shiv Sena ideologically different, alliance will dent national party's image, Sanjay Nirupam tells media - Firstpost"
83,"JNU Announces ""Major Rollback"" In Hostel Fee Hike Amid Students' Protests - NDTV News"
84,SC verdict Thursday on contempt plea against Rahul Gandhi for 'chowkidar chor hai' remark - Times of India
85,Bigg Boss 13: Hindustani Bhau has a gurumantra for Rashami Desai. You will also find it handy - India Today
86,Over 60 BJP Workers Injured in Clash With Kolkata Police During Protest Against Spike in Dengue Cases - News18
87,"Shiv Sena's new demands not acceptable to us, says BJP chief Amit Shah - Times of India"
88,"Retail inflation breaches RBI target in October, now at a 16-month high of 4.62% - Economic Times"
89,"Lata Mangeshkar Still in Hospital, Sidharth Shukla Rules Bigg Boss 13 - News18"
90,"16-inch MacBook Pro launched in India: New Magic keyboard, 9th Gen Intel processors and more - India Today"
91,Delhi Air Pollution: Schools In Delhi To Be Closed For Next Two Days Amid High Air Pollution - NDTV News
92,DoT asks telcos to start self-assessment of AGR dues - Livemint
93,First Televised Impeachment Hearing for Donald Trump Opens in US House of Representatives - News18
94,"""Who Were The Forces Behind Rahul Gandhi?"" BJP After Rafale Verdict - NDTV News"
95,'If Amit Shah Had Informed PM Modi About 50-50 Formula…' Sena's Salvo at BJP Over Maharashtra Logjam - News18
96,"First Pictures of Deepika Padukone, Ranveer Singh From Tirupati as They Seek Blessings on Anniversary - News18"
97,"After 100 games with RR, Ajinkya Rahane to play for DC - IPLT20.com"
98,SC Sabarimala verdict: Focus shifts to Left govt in Kerala - Times of India
99,Photos: Priyanka Chopra returns to the bay; flaunts her uber-cool style in a semi-formal attire - Times of India
100,New Motorola Razr can also be used with classic RAZR buttons: You have to activate special Retro Razr mode - India Today
101,Delayed breast cancer diagnosis lowers survival rate of Indian women - Deccan Chronicle
102,"Malvinder Singh, former Fortis Healthcare promoter, arrested - Livemint"
103,"RFL case: ED arrests Malvinder Singh, Sunil Godhwani - Times of India"
104,"India vs Bangladesh, 1st Test: India 86/1 after fiery pacers blast Bangladesh out for 150 - Times of India"
105,Nokia Smart TV With 55-inch 4K UHD Panel Expected to Launch in December - News18
106,"India, China agree to hold next round of border talks after Modi-Xi meet in Brazil - Times of India"
107,"Promoters' feud has 'zero impact' on IndiGo, says CEO Ronojoy Dutta - Moneycontrol"
108,Are We Alone? Study Redefines Conditions Take Make a Planet Habitable - Gadgets 360
109,"""Opened A Huge Door..."": Rahul Gandhi On Supreme Court Rafale Ruling - NDTV News"
110,"‘No deal with India, will implement ICJ ruling as per Constitution’: Pakistan on Jadhav case - The Indian Express"
111,"""Rahul Gandhi Used Father's Ill Health..."": Tweets Manohar Parrikar's Son - NDTV News"
112,World Diabetes Day: Homeopathy may help manage diabetes and other related conditions - Times of India
113,Huawei prepares to launch Kirin A1-powered devices in India - The Indian Express
114,"Salman Khan Flaunts Unusual Dance Move in New Dabangg 3 Song, Fans Thank Him - News18"
115,Courts Must Tread with Caution in Matters of Religion and Religious Practices: SC on Sabarimala Review Pl... - News18
116,"Vodafone Idea Loss Widens To Rs 50,922 Crore In September Quarter - NDTV News"
117,"Till there's more clarity, SC's 2018 verdict on Sabarimala will be upheld: Kerala CM - The News Minute"
118,Bigg Boss 3 winner Vindu Dara Singh supports Sidharth Shukla; calls Paras and Mahira ‘Naag-Naagin’ - Times of India
119,Government set to declare state of emergency in Venice: Italian PM - Times of India
120,Walmart just launched tons of new early Black Friday deals – here are the 10 best ones - BGR
121,"SC refuses to re-examine aspects of pricing, decision making and offset partner in Rafale deal - Times of India"
122,"TikTok's New ""Secret"" User Once Tried To Buy The App, Says Report - NDTV News"
123,"Ahead of Unmanned Mars Mission in 2020, China Successfully Completes Landing Test - News18"
124,RPower Q2 net profit down 69% to Rs 45 cr - Moneycontrol.com
125,Terrorism results in $1 trillion loss to world economy: PM Modi at BRICS summit - Times of India
126,"India vs Afghanistan, FIFA 2022 World Cup Qualifier LIVE Score and Updates: Chhetri Denied By Keeper - News18"
127,"Made To Wait For Ambulance, Says Family Of Celebrated Bihar Mathematician - NDTV News"
128,India braces for another round of scrutiny from US lawmakers on Kashmir human rights situation - Times of India
129,Resentment Grows In Karnataka BJP As Disqualified MLAs Get Bypoll Tickets - NDTV News
130,"President's Rule in Maharashtra LIVE Updates: Shiv Sena says common minimum programme draft ready after meeting with Congress, NCP - Firstpost"
131,"India vs Bangladesh: Ravichandran Ashwin Praises Indian Pace Attack, Calls It ""One Of The Most Lethal"" - NDTVSports.com"
132,"Afghanistan vs. India - Football Match Report - November 14, 2019 - ESPN India"
133,Climate change a threat for children’s lives worldwide - Free Press Journal
134,"Huawei Kirin A1-Powered Devices to Launch in India Next Month: FreeBuds 3, Watch GT2 Expected - NDTV"
135,"S Jaishankar at RNG Lecture: ‘Who doesn’t want good neighbours, but holding feet to fire important’ - The Indian Express"
136,World Cup Qualifiers: Injury-time goal saves India against Afghanistan - Times of India
137,"India vs Afghanistan, FIFA 2022 World Cup Qualifier HIGHLIGHTS: Doungel Scores, India Draw 1-1 With Afghanistan - News18"
138,Children's Day 2019: Salman Khan Danced To Slow Motion With Kids - NDTV News
139,"'Betrayal of People's Trust': Plea in SC Against Post Poll Alliance of Sena, NCP and Congress in Maharash... - News18"
140,"India vs Afghanistan, FIFA 2022 World Cup Qualifier HIGHLIGHTS: Doungel Scores, India Draw 1-1 With Afghanistan - News18"
141,"Airtel, Vodafone Idea post record losses in Q2 - Livemint"
142,"""Politics Like Cricket, Anything Can Happen"": Nitin Gadkari On Maharashtra - NDTV News"
143,"PHOTOS: Aishwarya Rai, Abhishek Bachchan, Kajol & others grace Karan Johar's house party - PINKVILLA"
144,Alicia Keys all set to return as the host of Grammy Awards 2020; Details Inside - PINKVILLA
145,"Bigger bench for Sabarimala, open to women for now - Times of India"
146,"Sabarimala verdict: Woman can have darshan, but will they go? - Times of India"
147,"Donald Trump has admitted to bribery, says Nancy Pelosi as impeachment probe intensifies - Hindustan Times"
148,"""No Chopper For 600-Km Trip"": Governor Points Finger At Mamata Banerjee - NDTV News"
149,"Student gunman kills 2, wounds 3 at California high school before shooting self - The Hindu"
150,"Burning, itchy eyes during pollution? Here's what to do - Times of India"
151,"No morning sickness, no bump: A model says she didn’t know she was pregnant until giving birth - The Washington Post"
152,Supreme Court's second clean chit on Rafale a big boost for PM Modi - Times of India
153,Novak Djokovic lifts lid on elbow injury after defeat to Roger Federer at ATP Finals - Express
154,"Apple iPhone SE 2 on track to launch in first half of 2020, reiterates Ming-Chi Kuo - Hindustan Times"
155,Maharashtra: Sena sits at table with Congress and NCP for a common agenda - The Indian Express
156,"Combined Q2 loss of Rs 74,000 crore for Vodafone, Airtel - Times of India"
157,Weight loss: Here is why you must add papayas to your diet to burn belly fat - Times of India
158,Gaza ceasefire under pressure after renewed Israeli air attacks - Al Jazeera English
159,"Children In India Face Higher Health Burden Of Climate Change, Says Lancet Report - BloombergQuint"
160,"S Jaishankar at RNG Lecture: ‘Who doesn’t want good neighbours, but holding feet to fire important’ - The Indian Express"
161,"Boeing received 'unnecessary' contract boost for astronaut capsule, watchdog says - Reuters India"
162,"Baghpat, Jind among new pollution hot spots in north India, shows data - Hindustan Times"
163,Roger Federer aims subtle shot at Novak Djokovic after denying him year-end No 1 ranking - Express
164,"Pakistan Has ""DNA Of Terrorism"": India's Reply On Kashmir At UNESCO - NDTV News"
165,"'Betrayal of People's Trust': Plea in SC Against Post Poll Alliance of Sena, NCP and Congress in Maharash... - News18"
166,"India vs Bangladesh, 1st Test: Indian pacers rule as Bangladesh fail to capitalize on dropped chances - Times of India"
167,"Boeing received 'unnecessary' contract boost for astronaut capsule, watchdog says - Reuters India"
168,"DeepVeer first Anniversary: After Tirupati, Ranveer Singh and Deepika Padukone seek blessings at the Gold - Times of India"
169,"IndiGo run by board; if there’s anyone I talk to, it’s Chairman: Ronojoy Dutta - Economic Times"
170,Miss World 2017 Manushi Chillar to Star Opposite Akshay Kumar in Prithviraj - News18
171,"North Korea Calls Biden A ""Rabid Dog"" Who Deserves To Be Beaten To Death - NDTV News"
172,"Pakistan Has ""DNA Of Terrorism"": India's Reply On Kashmir At UNESCO - NDTV News"
173,"Stocks in the news: Vodafone Idea, Bharti Airtel, Coffee Day, DHFL and SAIL - Economic Times"
174,Graeme Smith turns down Cricket South Africa director role - Hindustan Times
175,"Sensex rises 200 points; SBI, Bharti Airtel among top gainers - Livemint"
176,Why Supreme Court ruling today on Essar Steel will test the IBC - Livemint
177,Jaganmohan Reddy Needs a JNU for His Radical English Language Plans to Work - The Wire
178,"Aishwarya Rai, Alia Bhatt, Arjun-Malaika pose with Katy Perry as Karan Johar plays the perfect host.... - Hindustan Times"
179,Will Arvind Kejriwal Govt Extend Odd-Even? Delhi Air Quality Plummets to 700-Mark on Last Day of Scheme - News18
180,‘This is a lopsided panel’: Kashmiri writer’s barb at US Congress hits home - Hindustan Times
181,Statins improve long term outcomes for patients with heart disease - The Asian Age
182,Troubles mount for Indian IT firms as clients look for more bang for buck - Economic Times
183,"Delhi's air pollution has already caused irreversible..n its youngest residents, and it’s only getting worse - Firstpost"
184,Control HIV infection with antiretroviral therapies and reduce sudden heart attack - Deccan Chronicle
185,How to improve your hearing - The Asian Age
186,"""Better Than Rishabh Pant"": Ravichandran Ashwin Wows Fans By Batting Left-Handed. Watch - NDTVSports.com"
187,"Voda Idea, Bharti Airtel rally despite hefty Q2 losses: What analysts say - Economic Times"
188,Will Arvind Kejriwal Govt Extend Odd-Even? Delhi Air Quality Plummets to 700-Mark on Last Day of Scheme - News18
189,SC dismisses ED plea challenging bail to Shivakumar in money laundering case - Times of India
190,"Singh Brothers, Ex-Ranbaxy Promoters, Guilty Of Contempt: Supreme Court - NDTV News"
191,Shubh Mangal Zyada Saavdhan poster: Ayushmann Khurrana runs ahead of brides and grooms - Hindustan Times
192,"""Eggxorbitant Meal"": Composer Shekhar Ravjiani On Bill At 5-Star Hotel - NDTV News"
193,"Maharashtra Govt Formation LIVE Updates: Will Think, Says Sharad Pawar on Shiv Sena's CM Post Demand as Trio to Meet Guv Tomorrow - News18"
194,"Market Live: Sensex up 200 pts, Nifty holds 11,900; PSU banks, pharma in focus - Moneycontrol.com"
195,"Hong Kong third-quarter GDP shrinks 3.2%, confirms depth of recession - Times of India"
196,Marjaavaan Movie Review: Sidharth Malhotra and Riteish Deshmukh film makes you want to scream marjaavaan - India Today
197,Govt determined to see 3 pvt players in telecom sector: Vodafone Idea CEO - Business Standard
198,Google wants you to pronounce words correctly with its new practice feature - Hindustan Times
199,MS Dhoni starts training but remains unavailable for West Indies series - see pic - Hindustan Times
200,'Not How You Treat Citizens': Top Court To Probe Agency On DK Shivakumar - NDTV News
201,Top 5 ways to improve the air inside your home - Times of India
202,"Rafale Verdict: BJP Protests at Cong Office Seeking Rahul's Apology Over 'Lies', Nationwide Stir Tomorrow - News18"
203,Bacteria in the Gut May Alter Ageing Process: Study - News18
204,"India vs Bangladesh, 1st Test: Mayank Agarwal smashes career-best 243, crushes hopes of Bangladesh comeba - Times of India"
205,"Gautam Gambhir's Retort To AAP Amid Pollution Meet Row, ""Cc: Trolls"" - NDTV News"
206,"MPs, bureaucrats skip Parliamentary Standing Committee meeting on air pollution in national capital - Times of India"
207,Weight Loss Tips: What Is The Best Time To Eat Breakfast For Weight Loss? Here's The Answer From Experts; Know Best Breakfast Options - NDTV
208,Pakistan's 'Neurotic Behaviour' Led to Its Decline to A Failed State: India at UNESCO Meet - News18
209,CBI Raids Amnesty International's Office in Bengaluru over Alleged Irregularities in Foreign Funding - News18
210,"Rs 1,672 for 3 eggs is 'eggxorbitant', says composer Shekhar Ravjiani - Moneycontrol"
211,IPL 2020: Slots and purse left with all eight teams ahead of auction - Sportstar
212,Pakistan's 'Neurotic Behaviour' Led to Its Decline to A Failed State: India at UNESCO Meet - News18
213,CJI Gogoi attends farewell function on last working day - Times of India
214,Another reason to love yoga: It can reduce depression and anxiety - India Today
215,ET Explains: How Essar Steel verdict changes the rules of the game for future bankruptcy cases - Economic Times
216,Vodafone Idea looking to sell data centers to raise funds: MD Takkar - ETTelecom.com
217,"No Protection For ""Activists"" Making Sabarimala Pilgrimage, Warns Kerala - NDTV News"
218,Mobile phone data can be used to predict disease spread - Deccan Herald
219,"CBI raids Amnesty International Bengaluru, Delhi offices - Times of India"
220,IPL 2020: Full list of retained and released players by franchises - India Today
221,Apple Launches App to Let Users Enroll in Health Studies - NDTV
222,"Consumer Spending Report On Hold Over ""Data Quality Issues"": Government - NDTV News"
223,NASA Study Finds Zero Gravity Has Adverse Effects On Blood Flow Of Astronauts - Mashable India
224,"India vs Bangladesh: Mayank Agarwal, Virat Kohli Talk About Fitness, Mindset And Putting Team First. Watch - NDTVSports.com"
225,"‘Odd-even’ not effective, explore other steps, SC tells Delhi govt - Times of India"
226,"SC paves way for Ruia exit, Mittal entry in Essar Steel - Times of India"
227,There are loopholes in Ayodhya judgment but review will serve no purpose: Tahir Mahmood - Times of India
228,Google wants you to pronounce words correctly with its new practice feature - Hindustan Times
229,‘Our judgment not to be played around with’: Supreme Court cautions Centre - Hindustan Times
230,Alexander Zverev dumps Rafael Nadal out of ATP Finals and stops Roger Federer showdown - Express
231,Will need government support for timely repayment: Voda Idea to lenders - Economic Times
232,Scathing Metacritic user reviews and #GameFreakLied dull the shine of Pokémon Sword and Pokémon Shield's release - Notebookcheck.net
233,Supreme Court clears Arcelor's takeover of Essar Steel - Economic Times
234,"""Want No Company To Shut Operations"": Finance Minister On Telecom Stress - NDTV News"
235,Bigg Boss 13: 'Vanilla' Asim Riaz Turns 'Angry Young Man' - News18
236,"US-China deal could be signed by ministers, says White House - Livemint"
237,"What Outgoing Chief Justice Of India Said About ""Rank Hooliganism"" - NDTV News"
238,China-Friendly Rajapaksas Eye Comeback In Sri Lanka Presidential Election - NDTV News
239,"Goa Top Cop, On Official Visit To Delhi, Dies Of Cardiac Arrest - NDTV News"
240,"Maharashtra Govt Formation LIVE: Deal Done, Shiv Sena-NCP-Congress to Meet Governor Today - News18"
241,Marjaavaan Movie Review: Sidharth Malhotra's Film is a Checklist of Hindi Film Clichés and Nothing More - News18
242,‘Sharp increase’ in Pakistan’s efforts to illegally get N-tech: Berlin - Hindustan Times
243,Huawei sells Mate X with no Google after US ban - Hindustan Times
244,Brazil vs Argentina: Lionel Messi Scores On Argentina Return To Sink Brazil - NDTV Sports
245,Sri Lanka elections | Gunmen fire on buses carrying Muslim Sri Lankan voters - The Hindu
246,Amitabh Bachchan suggests that films should be released first on big screens and then on online platforms; Her - PINKVILLA
247,"Airtel & Vodafone oppose IUC removal even as industry, TRAI favour new regime: Report - Moneycontrol"
248,"Messi makes the difference but Argentina, Brazil remain works in progress - ESPN India"
249,"California Boy Scout Who Gunned Down Classmates Dies, Police Baffled Over Motive - News18"
250,Pakistan becomes first country to introduce new vaccine to combat typhoid - Moneycontrol
251,Hrithik Roshan: My Mother Watched Super 30 9 times in Theatre - News18
252,Amitabh Bachchan Expresses Concern Over Future of Movie Theatres - News18
253,Joaquin Phoenix’s Joker becomes first R-rated film to cross $1 billion worldwide - Hindustan Times
254,"Marginal Dip in Delhi Pollution But Air Quality Still in 'Severe' Category, Hopes Pinned on Strong Winds - News18"
255,"Joker smashes all records, becomes first R-rated movie to rake in $1 billion! - Free Press Journal"
256,Goa DGP Pranab Nanda passes away - The Indian Express
257,Premadasa vs Rajapaksa: What's at Stake for India as Two Dynasts Clash for Lankan Presidency Today - News18
258,Bigg Boss 13: Vishal & Hindustani Bhau engage in fight as former calls him ‘Bol Bachchan’; Bhau loses his cool - PINKVILLA
259,Scientists use cytotoxicT-cells analysis to check life longevity - The Siasat Daily
260,"Next Maharashtra CM from Shiv Sena, decision on Congress joining govt soon: NCP - Hindustan Times"
261,Dementia risk higher in illiterate people - The Asian Age
262,"Delhi Weather: Delhi's Air Quality Remains 'Severe', Strong Winds Likely Today - NDTV News"
263,"Panasonic Eluga Ray 810 launches in India at Rs 16,990: Can it compete with Redmi Note 8 Pro? - India Today"
264,"Maharashtra Govt Formation LIVE: Deal Done, Sena-NCP-Congress to Meet Governor Today; BJP Insists It Will Form Govt With Independents - News18"
265,"Irregular heartbeat, stroke more likely in tall people - The Asian Age"
266,"India vs Bangladesh, 1st Test Day 3 Live Score: Indian pacers leave Bangladesh reeling - Times of India"
267,"""Like Match-Fixing..."": Shiv Sena Accuses BJP Of Horse-Trading Attempts - NDTV News"
268,Not willing to compromise with my principles: Rajat Sharma resigns as DDCA president - India Today
269,Scientists crack secret to longevity - Deccan Chronicle
270,"Australian Man Escapes From ""Cunning"" Crocodile By Sticking Thumb Into Its Eye - NDTV News"
271,Bill Gates surpasses Jeff Bezos to reclaim world's richest man crown - Times Now
272,"India vs Bangladesh, 1st Test Day 3 Live Score: Shami removes Mahmudullah early after lunch - Times of India"
273,Navy fighter aircraft crashes in Goa - Times of India
274,Bill Gates overtakes Jeff Bezos to reclaim his spot of world’s richest person - Livemint
275,Amitabh Bachchan apologises for his absence from KIFF 2019: Watch video - India Today
276,"Navy's MiG Trainer Aircraft Crashes In Goa, Pilots Eject - NDTV News"
277,"Jaipur-Muscat Flight Pilot Sounds 'Mayday' Alarm, Pakistani Air Traffic Controller Responds in Time - News18"
278,Realme 5s will be powered by the Snapdragon 665 SoC - GSMArena.com news - GSMArena.com
279,"India vs Bangladesh, 1st Test Day 3 Live Score: Ashwin removes Liton Das, India four wickets away from wi - Times of India"
280,"Maharashtra govt formation LIVE Updates: Shiv Sena will skip NDA meet in Delhi, says Sanjay Raut ahead of Parliament's Winter Session - Firstpost"
281,"Expressing Concerns Over Justice, Civil Society Members Request Review of Ayodhya Verdict - The Wire"
282,UP Minister Swati Singh Summoned By Yogi Adityanath After Audio Threatening Cop Surfaces - NDTV News
283,"'Tell us your secret, we're tired of only beating the bat' - Ishant to Shami | ESPNcricinfo.com - ESPNcricinfo"
284,Hong Kong Open: Indian challenge ends after Kidambi Srikanth's semi-final defeat - India Today
285,RBI’s Shaktikanta Das calls for tighter governance at state-run banks - Livemint
286,"Consensus Needed Among Parties on 'One Nation, One Poll', Says CEC Sunil Arora - News18"
287,Study reveals illiterate people three times at higher risk to develop dementia - ANI News
288,"""Apologise To Country"": BJP Protests Against Rahul Gandhi Over Rafale - NDTV News"
289,"NBCC may revise bid for Jaypee Infratech, likely to keep unsold flats of Rs 1,750 cr - Times Now"
290,Bigg Boss 13: Mahira's Mother Slams Hindustani Bhau for Calling Her Daughter 'Bade Hoth Ki Chipkali' - News18
291,China Army In Hong Kong For 1st Time Since Pro-Democracy Protests Began - NDTV News
292,WhatsApp in 2019: All the New Features the Chat Service Added This Year | NDTV Gadgets360.com - NDTV
293,Nirmala Sitharaman kicks off drill to make GST return filing easier - Livemint
294,NCP panel to meet in Pune; Sharad Pawar-Sonia Gandhi meeting may be deferred - Times of India
295,Is it possible to fracture your penis? - Times of India
296,"Ban lifted on non-PNG industries in Delhi, coal-based units in NCR - Moneycontrol"
297,NCP's Sharad Pawar-Sonia Gandhi Meet On Maharashtra Pushed To Monday - NDTV News
298,"Tap Water Drinkable Only In Mumbai; Delhi, 13 State Capitals Fail Test - NDTV News"
299,Sabarimala temple opens for devotees; 10 women sent back from Pamba after Kerala govt refuses to provide... - Firstpost
300,Katy Perry and Lipa Dua's Mumbai concert: Katy Perry and Dua Lipa enthrall Mumbai with their mesmerising - Times of India
301,"Sony isn't about to make the best camera phone, despite promising sample photos - TechRadar India"
302,Ayodhya Verdict: Muslim Parties Mull Filing Review Petition in SC; AIMPLB to Hold Meeting Tomorrow - News18
303,ATP Finals semifinal: Tsitsipas beats Federer to reach maiden summit clash - Sportstar
304,"""Look Forward To Parliament Session"": PM Modi After All-Party Meeting - NDTV News"
305,Tsitsipas eclipses Federer to reach ATP Finals title match - Times of India
306,Afghanistan vs West Indies 2nd T20I Highlights: Karim Janat inspires AFG to level series - The Indian Express
307,Sourav Ganguly gets clean chit on conflict of interest charges from BCCI ethics officer - Hindustan Times
308,"Inside Aaradhya's Birthday Celebrations With Amitabh Bachchan, Jaya Bachchan, Aishwarya And Abhishek. See Pics - NDTV News"
309,Struggling to sleep - Deccan Chronicle
310,BJP Attacks Gandhi Family Over Income Tax Tribunal Order - NDTV News
311,"Sabarimala opens, Kerala cops block entry of women below 50 - Times of India"
312,"Delhi breathes easy, has cleanest air in 1 week - Times of India"
313,Terror training camps still active in Pakistan - Hindustan Times
314,"Anil Ambani, four RComm directors step down - Times of India"
315,The sharing and renting economy sees a bloom amidst the slowdown - Economic Times
316,What To Watch For in the 2019 Brazilian Grand Prix - Formula 1
317,Mars 2020 Rover Will Visit The Perfect Spot To Find Signs Of Life - NDTV News
318,The Chinese troops in Hong Kong and what they can do - Times of India
